job_id,job_title,company,company_name,company_id,location,job_description,keywords,experience,education,salary,job-time
JOB101812,BI Analyst,InsightWorks,InsightWorks,COM007,"Chennai, Tamil Nadu","We are looking for a BI Analyst to join InsightWorks. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and B.Tech / B.E. qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",2-4 Years,B.Tech / B.E.,₹2.5-4 LPA,Remote
JOB102215,ML Engineer,BluePeak Digital,BluePeak Digital,COM011,"Mumbai, Maharashtra","We are looking for a ML Engineer to join BluePeak Digital. The candidate should have experience with Java, Spring Boot, SQL, REST API. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Any Graduate qualification are preferred.","Java, Spring Boot, SQL, REST API",8+ Years,Any Graduate,₹4-7 LPA,Remote
JOB100557,Financial Analyst,ByteCraft Solutions,ByteCraft Solutions,COM008,"Nagpur, Maharashtra","We are looking for a Financial Analyst to join ByteCraft Solutions. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Any Graduate qualification are preferred.","SQL, Power BI, Excel, DAX",8+ Years,Any Graduate,₹8-12 LPA,Part-Time
JOB101269,Data Analyst,FinEdge Technologies,FinEdge Technologies,COM006,"Pune, Maharashtra","We are looking for a Data Analyst to join FinEdge Technologies. The candidate should have experience with Excel, Power BI, SQL, Data Visualization. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Master's Degree qualification are preferred.","Excel, Power BI, SQL, Data Visualization",0-1 Years,Master's Degree,₹10-16 LPA,Internship
JOB100757,  product analyst ,Quantix Analytics,Quantix Analytics,COM009,"Nagpur, Maharashtra","We are looking for a Product Analyst to join Quantix Analytics. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and Master's Degree qualification are preferred.","SQL, Power BI, Excel, DAX",8+ Years,Master's Degree,₹8-12 LPA,Full-Time
JOB101834,Software Engineer,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Nashik, Maharashtra","We are looking for a Software Engineer to join CloudMatrix Technologies. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 8+ Years experience and BCA qualification are preferred.","SQL, Power BI, Excel, DAX",8+ Years,BCA,₹3-5 LPA,Part-Time
JOB101756,Financial Analyst,FinEdge Technologies,FinEdge Technologies,COM006,"NAGPUR, MAHARASHTRA","We are looking for a Financial Analyst to join FinEdge Technologies. The candidate should have experience with Python, SQL, AWS, ETL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and MBA qualification are preferred.","Python, SQL, AWS, ETL",0-1 Years,MBA,,Internship
JOB100880,Data Scientist,Aster Technologies,Aster Technologies,COM012,"Pune, Maharashtra","We are looking for a Data Scientist to join Aster Technologies. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and MBA qualification are preferred.","Python, Pandas, NumPy, SQL",1-3 Years,MBA,₹3-5 LPA,Contract
JOB102294,Product Analyst,InsightWorks,InsightWorks,COM007,"Pune, Maharashtra","We are looking for a Product Analyst to join InsightWorks. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and Bachelor's Degree qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",2-4 Years,Bachelor's Degree,,Remote
JOB101368,MIS Executive,InsightWorks,InsightWorks,COM007,"Nashik, Maharashtra","We are looking for a MIS Executive to join InsightWorks. The candidate should have experience with Python, SQL, AWS, ETL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and B.Sc. qualification are preferred.","Python, SQL, AWS, ETL",3-5 Years,B.Sc.,₹2.5-4 LPA,Internship
JOB100037,ML Engineer,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Noida, Uttar Pradesh","We are looking for a ML Engineer to join CloudMatrix Technologies. The candidate should have experience with Python, Pandas, Machine Learning, Scikit-learn. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and B.Sc. qualification are preferred.","Python, Pandas, Machine Learning, Scikit-learn",1-3 Years,B.Sc.,₹5-8 LPA,Part-Time
JOB100792,SQL Developer,Infosphere Analytics,Infosphere Analytics,COM002,"Ahmedabad, Gujarat","We are looking for a SQL Developer to join Infosphere Analytics. The candidate should have experience with Spark, Python, SQL, AWS. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 1-3 Years experience and Bachelor's Degree qualification are preferred.","Spark, Python, SQL, AWS",1-3 Years,Bachelor's Degree,₹3-5 LPA,Contract
JOB100055,ML Engineer,NextGen Systems,NextGen Systems,COM005,"Pune, Maharashtra","We are looking for a ML Engineer to join NextGen Systems. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Master's Degree qualification are preferred.","Python, Pandas, NumPy, SQL",0-1 Years,Master's Degree,₹5-8 LPA,Contract
JOB100022,Product Analyst,CloudMatrix Technologies,CloudMatrix Technologies,COM003,"Nashik, Maharashtra","We are looking for a Product Analyst to join CloudMatrix Technologies. The candidate should have experience with Tableau, SQL, Excel, Business Intelligence. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and Any Graduate qualification are preferred.","Tableau, SQL, Excel, Business Intelligence",0-1 Years,Any Graduate,₹8-12 LPA,Contract
JOB100702,Power BI Developer,ByteCraft Solutions,ByteCraft Solutions,COM008,"Noida, Uttar Pradesh","We are looking for a Power BI Developer to join ByteCraft Solutions. The candidate should have experience with Spark, Python, SQL, AWS. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and Any Graduate qualification are preferred.","Spark, Python, SQL, AWS",3-5 Years,Any Graduate,₹8-12 LPA,Full-Time
JOB100201,AI Engineer,DataBridge Labs,DataBridge Labs,COM004,"Noida, Uttar Pradesh","We are looking for a AI Engineer to join DataBridge Labs. The candidate should have experience with Spark, Python, SQL, AWS. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and B.Tech / B.E. qualification are preferred.","Spark, Python, SQL, AWS",3-5 Years,B.Tech / B.E.,₹5-8 LPA,Contract
JOB101503,BI Analyst,DataBridge Labs,DataBridge Labs,COM004,"Gurugram, Haryana","We are looking for a BI Analyst to join DataBridge Labs. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 3-5 Years experience and Master's Degree qualification are preferred.","Python, Pandas, NumPy, SQL",3-5 Years,Master's Degree,₹10-16 LPA,Full-Time
JOB100872,Python Developer,Infosphere Analytics,Infosphere Analytics,COM002,"Gurugram, Haryana","We are looking for a Python Developer to join Infosphere Analytics. The candidate should have experience with Excel, Power BI, SQL, Data Visualization. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 5-8 Years experience and Master's Degree qualification are preferred.","Excel, Power BI, SQL, Data Visualization",5-8 Years,Master's Degree,₹2.5-4 LPA,Remote
JOB100279,ML Engineer,TechNova Solutions,TechNova Solutions,COM001,"Ahmedabad, Gujarat","We are looking for a ML Engineer to join TechNova Solutions. The candidate should have experience with Python, Pandas, NumPy, SQL. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 2-4 Years experience and MBA qualification are preferred.","Python, Pandas, NumPy, SQL",2-4 Years,MBA,₹5-8 LPA,Contract
JOB102217,Data Engineer,ByteCraft Solutions,ByteCraft Solutions,COM008,"Mumbai, Maharashtra","We are looking for a Data Engineer to join ByteCraft Solutions. The candidate should have experience with SQL, Power BI, Excel, DAX. Responsibilities include data analysis, reporting, dashboard creation, data cleaning, problem solving and collaboration with business teams. Candidates with 0-1 Years experience and MBA qualification are preferred.","SQL, Power BI, Excel, DAX",0-1 Years,MBA,₹8-12 LPA,Contract
